Tiny Tot Academey,Nur.,5,B.N.R.Road Ashok Rajpath Patna,800006,English,Unecognised,Private unaided,Low Cost
S.D.Public School,Nur.,10,Maurya Coloney Patna,800007,English and Hindi,Unecognised,Private unaided,Affordable
Bal Vikash Academey,Nur.,7,Sadhna puri saristabad,800007,English,Unecognised,Private unaided,Low Cost
Sri Daroga Prasad Ray Middle Academy,1,8,Alkapuri Saristabad,800001,Hindi,0,Private aided,Low Cost
Aadarsh Gyan Kunj,Nur.,6,Sarishtata bad west,0,Hindi,Unecognised,Private unaided,Low Cost
Ganga Public School,Nur.,5,Shadhna puri new tola gurdanibagh,800002,English and Hindi,Unecognised,Private unaided,Low Cost
Sarswati Shishu Accademy,Nur.,7,new bypass road saristabad,800001,English and Hindi,Unecognised,Private unaided,Low Cost
RP Prepatory School,Nur.,6,Bajnath Mahto road Old jakkanpur ,800001,English and Hindi,Unecognised,Private unaided,Low Cost
ST. ANNS English School,Nur.,4,"A/136, Housing Coloney K.Bagh Patna",800020,English,Unecognised,Private unaided,Affordable
S.V.D. Memorial English School,Nur.,8,A-44 K.Bagh Housing Coloney Patna,800020,English and Hindi,Unecognised,Private unaided,Higher Cost
S.V.D. Academey,Nur.,6,Ram Govind Singh Path Chandmari Chowk K. Bagh Patna,800020,English,Unecognised,Private unaided,Affordable
Ideal Children High School,Nur.,8,"A-56, Housing Coloney K.Bagh Patna",800020,English,Unecognised,Private unaided,Affordable
Education Point Academey,1,7,Chand Mari Road K.Bagh Patna,800020,English,Unecognised,Private unaided,Affordable
Kiddy Learning School,Nur.,6,Ashok Nagar Road No.- 14,800020,English,Unecognised,Private unaided,Low Cost
L.S. Academy,Nur.,8,Chandmari Road Lane K.Bagh Patna,800020,English and Hindi,Unecognised,Private unaided,Low Cost
Loyalla Convent,Nur.,5,Ashok Nagar Road No.- 08 K.Bagh Patna,800020,English and Hindi,Unecognised,Private unaided,Low Cost
Allons International School,Nur.,8,Near Mahendru Post office Patna,800006,English and Hindi,Unecognised,Private unaided,Affordable
Mother Teressa High Convent School,1,8,north mandiri,800001,English,Unecognised,Private unaided,Low Cost
J.B.B memorial School,1,5,North mandiri near dwarka uchh vidyalaya,800001,Hindi,Unecognised,Private unaided,Low Cost
Sanskriti Academy,1,5,"North mandiri anu lok , bal govind path",800001,English,Unecognised,Private unaided,Low Cost
St. Angel High School,1,8,North mandiri,800001,English,Unecognised,Private unaided,Low Cost
St. George Academey,Nur.,5,L-38 road no.14 sk nagar patna,800001,English,Unecognised,Private unaided,Higher Cost
Bedi Public School,1,5,china kothi,800001,English and Hindi,Unecognised,Private unaided,Low Cost
New Model Central Public School,1,7,Gol ghar chauraha shiv mandir gali ,800001,English,Unecognised,Private unaided,Low Cost
Patna Montessori,1,10,Boaring Road Patna,800001,English,Recognised,Private unaided,Low Cost
Campian Academy,Nur.,10,"Buddha Colony, Patna",800001,English,Unecognised,Private unaided,Affordable
St. Paul SR Secondary School,1,10,"S.K Puri, Boring Road, Patna",800001,English,Recognised,Private unaided,Higher Cost
Holy Mission School,1,10,"S.K. Puri, B/183, Boring Road, Patna",800001,English,Unecognised,Private unaided,Higher Cost
Anand Marg Primary School,1,5,"Siddheshwar Nagar, Mainpura, Patna",800001,English and Hindi,Unecognised,Private unaided,Low Cost
A.V.N.English Shool,Nur.,10,"S.K. Puri, Patna",800001,English,Recognised,Private unaided,Low Cost
Adarsh Vikash School,Nur.,10,Boring Road Indira PuriPatna,800001,English,Unecognised,Private unaided,Affordable
ST.Colombus High School,1,8,Churi Market Opp. Jahaji Kothi Patna,800001,English,Unecognised,Private unaided,Affordable
ST. Joseph Mary Academy,1,5,Lakhiyar Bhawan Patna,800003,English and Hindi,Unecognised,Private unaided,Low Cost
Vivek Vihar Public School,Nur.,10,nawal kishore road kadamkua ,800003,English and Hindi,Unecognised,Private unaided,Affordable
Patna Academey,Nur.,10,Bakarganj Gola Road Patna,800004,English and Hindi,Unecognised,Private unaided,Affordable
Cambridge High School,Nur.,9,Dariyapur Gola Road Patna,800004,English and Hindi,Unecognised,Private unaided,Affordable
Gracious Acadmey,Nur.,10,A-5 shriram path punichak patna,800023,English,Unecognised,Private unaided,Affordable
Patna Middle School,1,8,durga ashram gali sheikhpura,800014,English and Hindi,Unecognised,Private unaided,Affordable
St.Joseph Public School,Nur.,8,Manas path patel nagar,800023,English and Hindi,Unecognised,Private unaided,Low Cost
Aryan Academy,Nur.,7,"CDA Colony, A.G Colony, Patna",800014,English and Hindi,Unecognised,Private unaided,Affordable
Icon Public School,Nur.,10,Raza bazar,800014,English,Unecognised,Private unaided,Higher Cost
National Public School,1,5,Buddha Colony Patna,800001,English and Hindi,Unecognised,Private unaided,Low Cost
DNS Public School,1,9,Gosain Tola Patliputra Patna,800001,English and Hindi,Unecognised,Private unaided,Low Cost
St. Margret's High School,1,10,Gosain Tola Patliputra Patna,800001,English and Hindi,Unecognised,Private unaided,Low Cost
New Delhi Public School,Nur.,10,"S.K Puri, Boring Road, Patna",800001,English,Recognised,Private unaided,Higher Cost
Jack And Jill Academy,Nur.,5,"Near Himgiri Apartment, Boring Canal Road, Patna",800001,English,Unecognised,Private unaided,Affordable
Adarash Vikash Public School (vikash residensial),Nur.,8,Vivekanand Marg Patna,800001,English,Unecognised,Private unaided,Affordable
Camil Bulke School of Learning,1,5,"P&T Colony, Near Anand puri, Patna",800001,English and Hindi,Unecognised,Private unaided,Low Cost
New St. Karens High School,1,10,Punai Chawk Patna,800023,English and Hindi,Unecognised,Private unaided,Low Cost
National Public School,Nur.,10,Baldeo Bhawan Road Punaichak Patna,800023,English and Hindi,Unecognised,Private unaided,Low Cost
Baptist Church School,1,5,Birla Mandir Road Subzibagh Patna,800004,Hindi,Unecognised,Private unaided,Low Cost
New Spring Dole School,1,7,Bakarganj Gola Road Patna,800004,English,Unecognised,Private unaided,Affordable
Love Dole High School,1,7,Bhawar Pokhar Patna,800004,English and Hindi,Unecognised,Private unaided,Affordable
Aatiya Academey,1,5,Jamunagali Subzibagh Patna,800004,English and Hindi,Unecognised,Private unaided,Low Cost
Fort William English School,1,5,"Opp. Kulhariya Complex, Gandhi Maidain Patna",800004,English,Unecognised,Private unaided,Low Cost
N.S. Academey,Nur.,5,Bakerganj Bazar Patna,800004,English and Hindi,Unecognised,Private unaided,Low Cost
Sambhodhi School of Wxcellence,Nur.,10,patliputra s.k puri,800001,English,Unecognised,Private unaided,Higher Cost
Residential Shanti Niketan Public School,1,7,Nehru nagar opposite van vibhag,800013,English,Unecognised,Private unaided,Low Cost
Ram Krishna Public High School,Nur.,10,Buddha Coloney Patna,800001,English,Unecognised,Private unaided,Low Cost
Modern Competitive High School ,1,10,B4 dujrachak Budha colony ,800001,English and Hindi,Recognised,Private unaided,Higher Cost
St. Xavior's Academy,Nur.,6,Annand puri house no.85c east cannal road,800001,English and Hindi,Unecognised,Private unaided,Low Cost
Magadh Central School,Nur.,10,East Ashok Nagar Road No.-14 New Jakkanpur Patna,800014,English,Unecognised,Private unaided,Affordable
